,ground ginger,light brown sugar,fresh basil,onion powder,lemons,bay leaf,vinegar,dried thyme,cumin,oregano,fresh ground pepper,sesame oil,ground nutmeg,bay leaves,bananas,shredded cheddar cheese,whole milk,red bell pepper,chicken,boiling water,whole wheat flour,crushed red pepper flakes,thyme,fresh lime juice,whipping cream,shortening,apples,fresh thyme,low - fat milk,white wine,lemon zest,chicken breasts,diced tomatoes,breadcrumbs,strawberries,curry powder,basil,cold water,red pepper flakes,white pepper,red bell peppers,green peppers,shrimp,semi - sweet chocolate chips,dry mustard,dried basil,pure vanilla extract,salsa,ground cloves,cooking spray,black beans,chives,garlic salt,warm water,half - and - half,green bell pepper,cider vinegar,feta cheese,monterey jack cheese,almond extract,barbecue sauce,cherry tomatoes,hot sauce,peanut butter,chocolate chips,maple syrup,celery ribs,nuts,lime,sharp cheddar cheese,green pepper,yellow onion,sesame seeds,dark brown sugar,flat leaf parsley,bread,white vinegar,green bell peppers,evaporated milk,molasses,white wine vinegar,cabbage,cocoa powder,almonds,corn,cream,heavy whipping cream,egg yolk,ice,capers,pine nuts,cake flour,orange zest,fresh rosemary,flour tortillas,fresh basil leaves,cucumbers,plain yogurt,fresh parsley leaves,unsweetened cocoa powder,lean ground beef,shallot,avocado,hot water,lettuce,apple cider vinegar,red wine,cloves,peanut oil,red peppers,italian seasoning,fresh mushrooms,ground coriander,black olives,fresh chives,cayenne,yellow onions,sweet potatoes,egg white,rice vinegar,beef broth,sweetened condensed milk,ham,Tabasco sauce,spinach,plum tomatoes,swiss cheese,salt and black pepper,rosemary,cornmeal,rice,limes,cooked chicken,banana,cocoa,ricotta cheese,avocados,blueberries,cooked rice,low sodium chicken broth,seasoning salt,coconut milk,broccoli,turmeric,orange,ice cubes,green beans,cucumber,leeks,rolled oats,red pepper,bell peppers,light corn syrup,of fresh mint,fresh dill,vanilla ice cream,green chilies,skim milk,sliced almonds,salt & pepper,sliced mushrooms,coarse salt,ground allspice,vodka,oranges,bread flour,semisweet chocolate,asparagus,boneless skinless chicken breast halves,allspice,jalapenos,fish sauce,active dry yeast,pasta,basil leaves,red potatoes,cream of tartar,frozen peas,cumin seeds,panko breadcrumbs,slivered almonds,dried cranberries,parmigiano - reggiano cheese,whipped cream,beer,corn tortillas,Philadelphia Cream Cheese,sake,blue cheese,mustard,pineapple juice,romaine lettuce,brandy,vegetable broth,dried parsley,applesauce,graham cracker crumbs,Granny Smith apples,caster sugar,cream of mushroom soup,jalapeno peppers,coconut,cracked black pepper,Greek yogurt,plain flour,vegetable stock,crushed pineapple,goat cheese,bittersweet chocolate,hot pepper sauce,spaghetti,white bread,icing sugar,salt & fresh ground pepper,dry red wine,cooking oil,apple,broccoli florets,mirin,low - fat sour cream,dry sherry,salmon fillets,chickpeas,fresh strawberries,cauliflower,whole cloves,crushed tomatoes,beef stock,butternut squash,celery seeds,ground pork,fresh flat - leaf parsley,fresh thyme leaves,vegetable shortening,cinnamon sticks,jalapeno pepper,lemon peel,apple juice,fresh spinach,peaches,Cool Whip,jalapeno,Velveeta cheese,gingerroot,rum,white onion,ground turkey,kalamata olives,fennel seeds,Baby Spinach,cream of chicken soup,roasted red peppers,creamy peanut butter,chopped tomatoes,coriander,French bread,hard - boiled eggs,beef,frozen chopped spinach,sun - dried tomatoes,yeast,russet potatoes,nonfat milk,fresh oregano,Cool Whip Topping,black peppercorns,golden raisins,dried rosemary,fresh mint leaves,pork tenderloin,olives,prosciutto,dates,peanuts,cottage cheese,yogurt,prepared mustard,pumpkin,white onions,tortilla chips,white chocolate,fresh orange juice,seasoning,pineapple,roma tomatoes,chocolate,potato,dried apricots,sherry wine,cilantro leaves,vanilla bean,low sodium soy sauce,diced onions,leek,kidney beans,raspberries,eggplants,mint leaves,yellow cornmeal,cinnamon stick,green onion,smoked paprika,rice wine vinegar,dry breadcrumbs,unbleached all - purpose flour,fresh cilantro leaves,pumpkin puree,fresh coarse ground black pepper,frozen corn,flaked coconut,mint,spaghetti sauce,coriander seeds,dark rum,button mushrooms,apple cider,coconut oil,oats,pumpkin pie spice,nonstick cooking spray,bell pepper,Bourbon,crabmeat,hoisin sauce,ground pepper,yukon gold potatoes,Italian dressing,caraway seeds,creme fraiche,chili sauce,unsweetened chocolate,grape tomatoes,miniature marshmallows,maraschino cherries,poppy seeds,sherry wine vinegar,eggplant,garam masala,elbow macaroni,ice water,lettuce leaves,mangoes,chicken thighs,pork,arugula,ground red pepper,large shrimp,oyster sauce,dill,sweet onion,dark chocolate,celery salt,radishes,sage,baby carrots,corn syrup,fresh blueberries,lime zest,kale,oatmeal,pork chops,ground cardamom,red food coloring,scallion,old fashioned oats,sweet onions,tomato puree,white rice,baby spinach leaves,green olives,spring onions,pecan halves,provolone cheese,boneless chicken breasts,hazelnuts,fresh gingerroot,ground turmeric,cooked ham,mustard seeds,yellow squash,marshmallows,orange peel,peppercorns,fresh raspberries,celery rib,shredded coconut,lasagna noodles,lemon wedges,light cream,medium shrimp,prepared horseradish,turkey,soymilk,tomato juice,fresh breadcrumbs,artichoke hearts,gruyere cheese,sunflower seeds,quinoa,yellow cake mix
maple syrup,37,35,0,8,6,5,7,6,5,4,8,8,50,8,37,1,27,5,4,2,56,6,10,5,15,4,43,12,12,3,16,7,0,1,11,7,1,8,4,4,1,2,1,7,11,1,24,0,34,31,0,2,3,7,13,3,24,1,1,14,7,2,6,10,16,0,5,4,5,2,2,5,12,30,3,13,5,1,6,23,10,0,19,25,0,9,8,6,4,0,2,19,14,7,2,1,1,14,2,8,0,9,1,2,4,29,1,8,4,0,1,1,4,0,4,7,4,29,11,8,1,1,13,4,3,4,0,7,7,13,1,3,1,31,7,4,2,25,0,2,0,10,1,1,17,3,4,0,3,33,1,3,1,3,2,4,0,8,12,1,1,4,13,0,4,8,4,0,3,21,2,0,9,0,3,2,6,2,3,3,9,28,2,9,2,0,2,2,4,5,3,4,7,3,1,20,6,19,4,0,0,7,5,18,2,1,2,7,2,1,0,11,9,3,2,3,12,0,2,0,2,10,2,9,2,2,0,2,20,0,3,5,2,10,6,8,0,15,0,7,0,0,1,0,6,0,4,1,2,3,0,0,0,3,5,18,0,0,0,0,2,1,3,1,1,6,14,4,5,13,3,1,9,5,2,2,1,11,0,0,2,3,2,3,2,4,0,5,2,0,9,5,4,0,1,12,0,2,9,8,0,6,2,1,12,1,15,0,0,3,2,0,2,7,1,19,27,19,22,4,1,34,0,2,1,1,0,1,4,4,1,3,2,1,3,3,0,1,0,8,0,2,4,1,6,3,0,0,2,1,6,0,1,6,2,3,15,1,5,5,3,4,1,2,11,3,1,0,1,0,3,14,0,0,1,5,1,2,1,0,1,4,4,3,2,6,0,1,3,0,3,3,28,0,1,1,1,9,5,1
celery ribs,13,4,14,14,15,117,10,76,13,15,31,3,6,118,1,8,12,38,36,5,2,18,44,8,9,3,16,64,5,23,5,24,47,16,0,16,17,21,19,16,23,12,20,0,14,31,0,2,2,6,9,14,8,2,14,36,23,3,1,0,2,11,40,1,0,5,0,0,7,2,20,45,0,3,46,12,3,14,6,3,20,17,0,4,10,6,3,1,2,4,10,1,5,26,1,10,8,9,24,1,12,11,5,4,7,12,24,5,11,5,12,5,8,7,14,21,28,9,0,5,18,0,8,15,10,15,2,9,13,2,9,8,14,2,0,3,3,1,14,33,9,2,7,8,5,1,8,4,29,0,11,13,1,3,13,0,3,3,8,16,3,6,6,8,6,0,0,2,2,5,3,5,0,5,8,22,0,28,7,3,4,7,17,1,5,1,0,1,14,6,1,7,3,20,20,1,0,11,0,6,2,1,10,1,1,19,2,1,1,15,8,13,0,7,32,3,5,2,0,1,0,2,11,2,11,11,22,13,5,18,4,39,21,1,2,2,7,1,8,1,0,4,1,7,1,10,8,2,12,3,6,4,0,11,9,3,22,5,3,6,0,12,4,8,0,23,6,10,2,2,9,3,1,5,2,5,4,2,9,3,0,3,6,0,9,0,12,4,6,6,0,2,0,26,10,0,6,2,5,1,1,6,2,1,1,6,2,4,7,0,2,2,3,0,16,5,2,1,0,0,17,1,13,3,7,11,2,4,3,2,0,4,0,0,4,9,4,1,7,1,4,1,3,3,6,2,12,2,10,16,1,9,13,12,14,0,0,0,9,0,2,0,0,2,1,8,8,7,7,4,3,3,8,6,2,2,2,4,0,6,0,0,16,0,2,0,2,8,3,5,12,15,2,19,2,4,3,2,5,0
nuts,9,19,0,1,5,0,4,1,0,2,2,1,19,0,49,2,7,0,1,20,22,2,1,1,8,59,54,0,26,0,3,1,0,0,5,2,0,8,0,0,0,0,0,53,1,2,10,0,23,2,0,0,4,11,5,0,0,0,0,11,0,0,0,11,117,4,0,0,0,2,0,0,4,6,1,3,0,0,38,10,0,2,25,2,1,12,3,9,0,0,1,10,7,1,0,0,0,3,0,7,0,0,1,10,1,2,1,26,0,0,1,0,1,0,0,1,0,3,5,0,0,27,0,2,0,0,0,0,0,1,3,1,2,8,60,2,2,7,1,0,4,1,2,0,5,0,0,1,0,28,0,0,18,0,0,9,0,2,0,0,0,1,4,0,3,5,20,0,0,19,1,1,4,0,0,0,7,0,0,0,0,7,0,12,1,0,3,0,2,0,2,1,5,0,0,21,22,5,3,0,1,52,1,1,4,0,39,0,6,0,0,1,10,0,0,5,6,0,0,6,0,0,0,3,0,1,0,0,1,1,0,0,0,8,0,1,2,4,0,1,23,0,3,0,13,0,0,0,0,0,0,2,1,0,1,1,0,0,0,0,3,0,1,0,1,0,2,0,0,0,3,0,35,0,5,1,0,11,0,0,4,0,0,10,0,9,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,6,0,0,35,1,0,0,2,0,0,4,10,6,2,0,3,0,1,2,0,1,0,0,1,23,0,14,20,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,4,1,0,1,0,8,2,0,0,14,0,3,1,2,6,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,17,6,0,0,0,22,0,0,4,0,0,1,4,0,1,0,0,5,1,15
lime,7,11,7,22,18,7,8,13,65,13,10,36,9,12,6,7,4,43,14,6,2,15,9,29,2,0,6,12,1,14,0,28,14,4,24,27,9,10,27,16,16,4,43,0,3,4,2,34,6,7,40,13,16,5,6,21,10,4,11,0,8,22,30,4,0,5,7,0,0,2,3,26,13,5,6,5,10,1,2,4,6,15,1,2,34,5,4,3,39,3,3,0,4,5,26,8,9,13,6,0,2,19,64,5,9,8,6,4,24,7,1,0,21,5,6,12,8,9,3,17,4,6,0,9,5,13,0,9,3,1,16,39,8,6,1,0,55,6,6,5,5,34,2,11,56,17,1,29,2,0,19,11,0,27,2,4,13,1,4,5,0,14,14,12,25,0,0,3,2,5,43,53,0,0,14,4,3,3,15,14,3,3,1,2,6,33,0,4,1,5,12,9,6,5,2,0,2,3,5,0,31,7,15,10,6,8,2,4,0,8,0,1,5,12,3,4,4,4,4,0,1,14,6,5,6,5,2,2,5,1,7,1,7,3,5,44,0,4,2,8,3,62,1,13,12,32,4,0,1,0,1,2,3,8,16,0,1,4,1,1,0,3,0,3,0,4,4,1,13,11,1,0,0,6,1,9,0,3,12,10,1,3,9,13,19,1,1,1,0,48,4,8,4,3,5,2,0,14,1,8,9,9,8,0,0,37,0,4,7,1,14,0,9,11,6,1,7,4,0,0,14,1,2,7,4,0,1,1,7,8,0,5,2,4,0,2,1,8,0,4,2,24,6,2,3,3,8,4,2,6,2,1,5,0,1,0,2,10,7,0,0,1,0,14,1,3,3,4,0,0,14,1,0,4,0,11,5,1,1,1,0,0,2,3,1,5,0,1,1,6,0,0,1,7,1,0,0,0,6,1
sharp cheddar cheese,2,2,5,16,2,7,2,14,19,16,18,0,9,4,1,1,30,11,16,3,8,6,9,3,5,0,3,7,28,8,1,6,14,24,0,11,7,3,6,18,22,22,7,0,56,12,0,33,1,13,11,15,15,7,34,20,3,1,41,0,14,2,38,0,0,2,2,2,2,0,13,12,2,2,5,25,2,12,14,1,2,1,0,3,13,6,4,2,0,1,1,0,0,4,17,2,2,4,1,1,18,5,6,4,19,2,0,3,0,12,8,4,5,22,10,18,15,4,3,0,2,0,20,21,4,2,7,7,5,10,3,2,10,0,0,2,10,0,6,7,12,0,15,0,1,0,3,1,5,2,4,7,0,0,4,0,20,3,2,6,9,3,2,0,1,8,0,3,1,2,15,0,5,6,2,7,2,10,2,17,4,2,0,0,21,23,1,0,4,9,0,3,1,3,5,0,0,5,0,21,14,1,10,5,1,4,1,2,0,13,4,14,0,4,1,3,6,10,0,20,3,1,1,0,14,1,3,2,5,3,4,2,4,4,1,4,0,0,1,0,0,7,15,0,0,3,4,0,1,5,18,6,0,6,1,4,2,2,11,3,5,16,3,0,0,0,3,3,0,0,4,1,0,1,14,0,5,0,8,11,0,2,5,1,4,0,3,1,6,6,0,1,3,3,3,0,2,0,8,1,5,5,0,7,3,3,1,5,7,0,0,1,0,0,6,2,1,0,0,3,5,0,11,0,6,10,3,0,1,2,0,4,0,0,2,1,0,0,43,3,1,0,0,2,0,4,0,0,7,6,0,2,2,2,1,0,0,1,4,0,1,0,1,2,0,4,0,1,5,3,2,3,3,1,0,1,0,6,0,6,0,0,0,0,3,0,5,0,5,3,5,3,0,3,1,2,5,2,3,0
green pepper,16,0,9,9,6,33,48,15,48,66,7,10,4,36,1,24,2,9,18,6,3,19,26,4,1,3,0,5,8,17,1,30,51,7,1,8,42,7,20,5,2,0,24,0,11,34,0,28,2,1,26,5,14,2,4,1,13,8,21,0,27,14,13,2,0,2,20,0,3,13,0,31,3,3,5,7,7,1,2,2,6,21,0,2,20,0,1,3,0,9,5,3,0,1,16,1,9,3,1,0,21,3,8,8,15,12,7,5,8,10,29,24,6,18,1,7,2,1,1,3,17,2,13,23,3,5,9,5,5,5,20,4,13,0,0,4,5,0,24,4,18,2,9,11,2,0,7,20,4,0,135,1,0,2,3,0,4,1,0,17,28,1,4,0,1,0,0,2,10,5,16,5,1,13,2,7,0,4,3,1,2,1,0,0,9,10,2,4,0,2,5,5,1,11,10,0,0,1,0,9,11,0,2,1,2,7,4,2,0,12,11,1,0,1,6,4,3,4,5,8,4,2,7,0,6,1,14,6,0,6,2,1,0,0,1,11,0,3,3,0,0,9,6,2,0,9,16,5,2,2,6,4,0,18,4,3,8,6,0,1,0,2,2,5,0,1,2,3,1,2,7,0,1,1,6,1,5,1,2,5,0,0,3,6,4,0,7,2,7,3,0,2,2,6,28,0,6,1,2,0,2,4,1,4,0,3,0,2,15,1,2,15,1,1,8,0,1,1,1,2,0,3,3,1,6,1,13,2,0,11,0,8,0,0,0,0,9,1,6,1,5,2,4,6,1,3,2,6,2,13,0,8,7,1,5,1,0,0,1,0,10,0,0,1,0,2,12,4,2,14,0,0,13,10,0,1,1,10,4,12,0,0,1,0,6,1,8,1,1,7,2,3,0,13,2,2,1,1,3,0
yellow onion,5,20,27,16,9,47,8,39,47,25,19,13,12,46,1,13,19,65,28,3,2,25,21,11,4,3,7,50,4,23,8,21,43,10,1,27,20,13,36,18,9,6,7,0,6,34,0,5,12,6,33,12,19,4,13,57,11,9,15,0,9,6,17,5,0,5,45,0,26,12,31,0,6,8,24,6,14,15,4,8,6,11,1,2,11,4,5,4,0,11,7,0,2,26,10,12,2,13,14,1,13,7,11,6,3,18,19,7,15,3,13,14,36,5,11,12,12,15,5,5,22,0,8,7,8,17,3,21,9,5,9,13,5,0,0,10,12,0,5,30,5,14,6,12,6,2,9,6,12,0,12,10,0,9,6,0,8,5,4,9,11,19,11,0,7,2,1,8,3,6,26,12,3,4,6,13,0,9,9,13,2,3,12,0,14,16,1,2,8,3,0,0,2,18,15,1,0,4,0,7,12,4,11,6,2,20,1,9,0,5,9,3,1,17,13,3,3,2,2,2,9,3,10,0,5,10,37,13,18,8,14,23,19,0,5,13,1,5,12,0,0,16,3,2,0,7,14,4,6,12,4,3,0,3,8,1,5,6,5,5,1,22,2,11,0,11,7,9,1,2,1,5,0,3,5,5,2,2,1,2,0,2,5,4,14,0,6,1,4,15,0,9,0,10,8,0,4,2,5,10,0,14,2,4,3,13,3,3,5,1,4,8,5,3,8,4,5,0,0,4,15,0,2,7,7,13,3,3,0,2,0,7,0,0,0,6,15,6,8,3,2,3,10,5,2,4,4,4,4,1,0,3,3,1,6,0,0,3,13,0,5,4,0,2,0,0,7,6,3,6,0,1,6,3,0,3,11,3,2,8,0,0,5,0,16,1,3,4,1,5,3,6,0,0,3,3,4,0,11,0
sesame seeds,28,13,5,8,10,2,29,7,9,8,18,220,2,3,6,5,2,26,13,8,28,16,6,18,0,5,2,1,4,7,6,20,3,4,4,12,7,10,30,10,17,7,13,1,12,7,1,2,4,15,2,10,4,24,0,5,12,7,1,2,6,5,2,16,4,12,0,4,13,2,3,6,0,7,0,5,15,3,1,9,14,23,3,18,1,5,0,7,0,0,5,5,10,4,3,4,22,8,1,0,3,5,9,8,5,6,3,1,33,6,3,6,6,2,2,5,3,5,16,92,1,2,6,4,12,3,3,4,5,7,2,4,5,4,0,1,9,1,15,3,2,3,11,10,6,0,12,14,7,23,9,4,1,6,2,0,3,3,15,2,0,3,1,0,4,14,0,9,8,2,2,18,22,0,6,1,0,1,15,8,19,5,0,1,3,6,0,39,0,8,9,4,0,0,1,4,0,3,2,0,0,10,4,0,8,1,0,0,1,4,3,1,3,4,0,10,3,13,48,0,13,9,6,0,3,6,0,1,1,7,4,3,0,3,0,3,1,4,7,1,0,5,0,19,1,4,1,2,4,5,0,2,7,1,9,2,3,10,1,2,8,0,0,0,0,1,2,0,4,8,2,1,8,6,2,2,5,1,2,1,0,7,2,4,0,0,0,4,4,4,0,38,3,5,0,0,6,3,2,3,16,1,40,4,4,2,1,3,0,3,4,0,10,0,5,0,2,5,0,5,2,0,2,24,2,1,0,7,2,12,3,0,0,0,29,4,2,6,0,3,3,2,4,3,1,4,1,16,2,2,0,5,7,1,3,2,1,3,6,4,0,5,0,14,6,2,2,6,6,0,11,2,3,5,4,9,1,2,4,0,1,3,0,0,0,10,1,0,0,1,3,2,7,0,1,4,0,56,8,1
dark brown sugar,92,18,1,33,5,7,3,13,8,3,7,11,54,17,38,0,44,7,1,22,42,21,4,24,26,10,21,12,7,1,17,5,4,1,5,12,1,13,11,8,3,5,3,23,35,4,51,0,71,31,3,0,7,9,8,5,39,0,1,7,17,1,13,10,22,30,3,6,5,2,3,8,7,0,4,2,11,4,13,69,7,0,11,7,1,1,14,24,0,0,2,21,16,5,2,2,1,5,1,33,5,4,0,12,1,24,9,13,10,0,2,1,14,1,0,7,16,26,10,14,6,5,6,8,0,3,1,3,2,4,2,5,0,10,3,2,1,5,2,11,5,7,0,0,7,1,1,1,2,24,1,1,32,3,0,19,0,5,8,0,1,10,45,1,8,9,19,1,9,29,5,7,6,0,4,0,7,1,4,1,5,17,1,9,10,2,0,1,2,2,5,2,7,1,1,16,6,15,3,0,4,2,10,6,3,0,1,0,21,1,0,6,9,1,6,1,2,2,2,1,5,5,0,1,0,16,0,1,3,6,2,2,0,10,13,6,2,13,0,5,0,5,0,5,7,5,1,0,5,0,0,2,15,1,1,6,0,0,0,0,2,0,5,3,1,5,17,2,5,8,0,0,7,5,1,3,1,7,2,0,3,8,2,4,0,1,0,7,2,5,10,14,0,0,4,1,1,0,3,8,0,15,5,3,14,5,11,12,1,4,1,0,9,30,1,15,3,10,17,5,1,29,0,1,1,0,0,4,5,3,10,2,3,3,1,0,1,1,0,10,0,7,4,1,0,8,0,1,0,2,8,2,1,1,3,7,3,5,0,0,5,11,3,2,30,2,5,0,1,1,0,16,0,0,7,4,2,1,0,0,1,4,0,3,0,6,0,0,3,1,0,0,2,1,1,0,1,2,0,2
flat leaf parsley,7,2,16,3,34,34,3,14,5,14,55,1,6,32,0,1,25,28,12,10,1,47,39,8,1,0,5,28,3,24,51,14,16,25,1,7,15,6,27,12,24,5,19,0,6,5,0,2,5,4,5,46,1,3,5,10,18,17,1,0,1,27,13,0,0,3,46,1,6,5,5,24,0,4,0,12,4,5,1,2,29,4,0,4,9,7,1,6,0,65,45,1,10,18,0,18,4,8,2,0,3,52,4,6,5,3,15,6,4,6,4,0,21,9,11,18,16,9,3,3,12,0,6,6,6,28,1,11,22,4,5,8,5,0,0,7,6,0,3,5,0,0,2,5,3,1,14,14,11,0,9,7,0,12,15,0,0,1,6,5,1,18,8,0,3,2,0,11,11,8,4,0,5,7,19,1,0,6,7,26,5,3,46,0,1,1,0,1,10,1,0,13,2,6,0,0,0,6,2,0,1,0,15,8,5,13,0,9,1,3,14,11,0,4,20,1,4,3,0,1,8,7,12,0,5,1,14,9,9,8,13,5,30,0,2,6,1,2,5,0,0,6,0,1,0,7,9,28,7,8,1,13,0,6,11,5,3,4,3,13,0,10,1,12,0,14,6,1,10,3,5,12,2,0,1,2,2,2,9,1,0,8,5,2,8,0,6,6,3,7,0,3,5,10,0,0,10,8,4,4,0,9,2,5,2,8,0,2,0,0,23,1,9,1,15,0,0,0,0,1,0,1,3,1,2,8,4,7,13,3,0,19,0,0,2,20,7,2,4,0,3,0,6,3,8,3,11,1,8,3,1,1,10,10,4,0,0,0,6,0,0,1,0,12,1,3,6,5,3,20,6,3,11,1,10,0,6,3,3,1,0,1,1,0,17,0,1,18,0,7,4,6,0,3,21,3,12,3,13,0
bread,1,3,16,14,5,7,10,14,3,14,8,3,14,9,8,13,11,6,21,5,2,11,13,0,4,2,17,7,34,8,4,8,5,6,2,6,14,1,11,9,6,12,6,1,35,8,2,6,4,6,1,5,14,1,16,8,1,10,12,1,9,7,5,20,0,13,12,3,5,25,7,6,5,2,12,0,3,7,11,0,3,6,1,4,5,7,6,9,0,9,6,1,2,6,0,14,11,5,22,1,10,6,17,5,17,2,10,0,1,7,13,8,3,3,3,3,4,2,5,1,3,0,23,6,6,6,20,12,9,2,2,0,4,13,1,2,9,2,1,3,7,3,4,1,1,0,5,2,5,1,2,5,0,1,4,0,4,9,1,11,3,7,2,0,5,1,0,3,0,5,3,0,5,3,18,0,0,1,1,4,2,7,5,0,3,1,2,0,10,10,0,7,4,7,8,3,0,4,0,6,4,0,2,2,2,3,2,7,2,11,6,3,1,3,2,0,7,0,1,4,2,2,0,2,1,2,0,4,3,2,11,2,4,2,1,2,1,4,6,2,0,1,4,0,2,5,3,2,1,2,3,5,3,9,7,1,7,7,4,1,1,0,0,5,0,0,4,4,4,0,11,10,0,1,3,5,15,2,1,1,1,1,6,2,1,0,3,2,7,0,2,1,7,3,0,3,5,3,0,1,6,3,0,1,0,1,3,0,0,0,1,4,2,1,3,2,1,1,2,1,6,2,10,2,3,1,2,1,3,4,0,3,0,0,0,8,2,2,2,0,6,1,2,2,5,0,0,0,7,2,0,3,4,13,2,2,1,0,3,2,3,3,0,4,0,1,1,1,4,1,4,0,14,0,1,0,1,12,1,0,1,1,5,0,5,1,1,4,4,1,2,9,2,3,1,5,5,2,2,0
white vinegar,16,8,7,24,17,22,1,8,17,23,13,31,5,38,1,3,6,26,11,7,6,19,9,6,5,10,12,6,3,7,4,10,11,4,3,14,5,25,29,21,17,20,7,3,53,9,5,3,11,7,5,9,14,3,4,21,2,3,2,0,10,12,17,1,2,5,3,0,10,2,7,14,15,11,4,3,0,14,2,17,0,40,20,1,0,3,5,5,0,6,3,6,4,4,1,2,39,2,8,9,6,8,4,3,6,8,2,13,18,15,4,3,5,6,5,7,9,4,2,3,9,3,3,13,2,2,4,10,1,3,4,11,2,0,8,1,17,4,6,1,8,3,9,21,3,2,10,14,1,2,7,7,4,5,16,0,6,4,6,3,2,10,7,2,1,3,0,3,5,14,12,7,2,2,4,11,5,5,7,1,10,1,4,0,6,4,0,1,11,14,8,8,1,4,11,1,0,2,3,1,17,1,9,7,0,0,1,0,2,11,1,2,2,12,1,7,0,8,1,2,4,2,2,1,11,22,1,4,1,36,3,0,2,7,15,8,1,5,4,3,0,7,1,6,0,14,5,1,3,7,0,0,1,2,3,0,6,3,1,2,3,2,0,4,0,14,4,1,6,4,2,4,1,4,0,2,15,1,16,1,0,1,3,5,8,0,1,3,0,4,2,2,4,3,4,4,1,1,2,6,3,5,1,1,3,5,1,3,3,1,0,1,6,0,3,0,1,0,2,2,4,3,1,4,2,4,0,3,1,10,1,0,1,4,8,0,2,1,1,6,3,5,4,2,0,3,0,2,7,6,0,6,4,3,2,7,1,2,0,0,6,3,17,4,1,6,2,4,1,3,3,0,3,4,0,8,6,3,32,2,0,0,21,0,4,2,0,1,1,2,8,0,2,1,1,1,1,13,0,0
green bell peppers,13,5,16,30,7,41,21,46,34,30,10,12,8,47,0,36,4,20,20,4,2,25,13,19,6,3,4,16,2,13,1,15,51,12,0,7,21,9,32,28,198,1,31,0,15,35,0,25,8,17,43,8,15,1,8,1,22,16,21,0,6,8,25,1,0,1,14,0,1,12,1,15,3,4,5,7,14,0,6,7,7,21,0,4,18,2,4,1,1,4,1,1,1,2,12,4,20,2,24,0,31,2,8,4,10,13,7,2,11,9,22,22,13,16,5,21,68,6,4,3,12,0,8,23,5,15,2,9,5,9,17,4,11,1,1,3,10,0,28,7,12,3,5,13,0,0,8,8,3,4,0,3,0,2,4,0,5,4,1,7,9,2,4,1,3,0,0,2,5,3,10,2,0,9,1,6,1,4,5,7,4,3,4,0,7,8,0,2,0,6,5,3,2,7,9,1,0,0,1,4,22,0,4,0,1,9,2,4,0,25,11,3,0,8,10,7,1,5,0,2,6,1,6,0,3,5,18,9,4,17,19,10,5,3,3,10,0,3,3,1,0,9,2,2,0,3,12,7,5,1,1,2,0,18,5,5,9,2,2,2,0,6,1,4,0,3,2,3,0,8,9,0,1,0,6,4,5,1,11,8,0,1,13,2,8,0,4,0,4,5,0,8,29,1,19,0,10,2,8,2,2,1,4,5,3,10,0,3,8,0,4,8,2,0,3,0,0,0,0,4,0,1,10,2,0,0,6,2,0,10,1,4,0,1,2,4,11,1,8,2,2,1,6,5,0,9,6,6,1,4,0,4,3,0,3,0,0,3,0,1,4,2,0,3,1,11,4,18,1,10,2,0,5,5,0,6,4,12,8,6,0,0,1,0,5,1,1,3,2,19,7,1,0,10,2,4,0,1,2,0
evaporated milk,36,31,4,11,3,1,6,5,6,4,0,0,35,5,11,25,22,5,5,13,2,0,2,2,12,23,7,1,0,4,5,6,3,6,3,6,1,10,2,15,2,5,1,46,10,5,29,5,26,6,1,8,3,13,7,3,1,4,12,7,1,0,5,20,46,6,6,38,2,14,2,4,1,13,1,11,2,6,0,8,1,5,15,8,5,7,11,10,4,1,3,16,6,1,1,3,1,3,2,16,6,0,0,10,1,1,1,15,2,2,3,5,2,4,1,1,0,12,5,0,0,50,8,1,1,0,12,4,0,4,5,1,4,3,20,0,1,1,5,0,3,9,5,1,0,2,1,0,2,6,2,0,28,0,1,12,8,1,8,2,4,2,7,0,1,3,19,1,2,8,1,1,4,9,0,5,5,3,1,3,0,3,0,13,0,1,10,0,1,4,2,0,5,3,5,1,15,4,4,12,4,19,0,3,4,1,10,1,4,2,3,10,6,4,1,2,2,1,0,1,0,0,0,4,3,1,1,0,3,2,6,2,0,9,5,2,2,1,1,1,8,2,10,3,12,1,2,1,1,0,11,0,5,2,0,3,3,2,4,1,6,6,5,0,11,1,2,2,1,0,0,0,8,7,5,0,4,36,1,2,5,0,4,1,0,10,3,1,0,0,0,0,5,2,1,1,2,0,5,3,0,3,0,3,2,0,21,0,3,25,0,1,0,5,1,0,0,6,25,7,4,6,1,0,2,1,0,1,0,2,13,0,12,7,0,0,0,0,12,2,1,1,1,0,0,0,1,0,1,1,2,2,0,3,2,14,1,1,1,7,0,3,4,1,1,2,0,1,1,0,2,7,0,1,0,2,3,11,0,4,12,1,0,3,3,4,1,0,1,1,2,5,0,0,4,0,0,0,0,19
